emg_key,participant_id,source,corr,lag,n_mat,n_c3d
EMG_05_R_M_soleus,RD0037,raw,1.0,0,8,8
EMG_05_R_M_soleus,RD0041,step4,1.0000000000000002,0,23,23
EMG_05_R_M_soleus,RD0041,raw,0.9999999999999999,0,23,23
EMG_05_R_M_soleus,RD0043,step4,1.0,0,15,15
EMG_05_R_M_soleus,RD0043,raw,1.0,0,15,15
EMG_05_R_M_soleus,RD0044,step4,1.0000000000000002,0,6,6
EMG_05_R_M_soleus,RD0044,raw,0.9999999999999999,0,6,6
EMG_05_R_M_soleus,RD0045,step4,1.0000000000000002,0,4,4
EMG_05_R_M_soleus,RD0045,raw,1.0,0,4,4
EMG_05_R_M_soleus,RD0047,step4,1.0,0,6,6
EMG_05_R_M_soleus,RD0047,raw,1.0000000000000002,0,6,6
EMG_05_R_M_soleus,RD0050,step4,1.0,0,12,12
EMG_05_R_M_soleus,RD0050,raw,1.0000000000000002,0,12,12
EMG_05_R_M_soleus,RD0051,step4,1.0,0,8,8
EMG_05_R_M_soleus,RD0051,raw,1.0000000000000002,0,8,8
EMG_05_R_M_soleus,RD0052,step4,0.9999999999999999,0,16,16
EMG_05_R_M_soleus,RD0052,raw,1.0000000000000002,0,16,16
EMG_05_R_M_soleus,RD0055,step4,1.0,0,4,4
EMG_05_R_M_soleus,RD0055,raw,0.9999999999999999,0,4,4
EMG_05_R_M_soleus,RD0057,step4,1.0000000000000002,0,17,17
EMG_05_R_M_soleus,RD0057,raw,1.0,0,17,17
EMG_05_R_M_soleus,RD0059,step4,1.0,0,9,9
EMG_05_R_M_soleus,RD0059,raw,1.0000000000000002,0,9,9
EMG_05_R_M_soleus,RD0060,step4,1.0,0,6,6
EMG_05_R_M_soleus,RD0060,raw,1.0,0,6,6
EMG_05_R_M_soleus,RD0064,step4,1.0,0,16,16
EMG_05_R_M_soleus,RD0064,raw,1.0000000000000002,0,16,16
EMG_05_R_M_soleus,RD0072,step4,1.0,0,4,4
EMG_05_R_M_soleus,RD0072,raw,1.0,0,4,4
EMG_05_R_M_soleus,RD0075,step4,1.0000000000000004,0,7,7
EMG_05_R_M_soleus,RD0075,raw,1.0,0,7,7
EMG_05_R_M_soleus,RD0079,step4,0.9999999999999999,0,9,9
EMG_05_R_M_soleus,RD0079,raw,1.0,0,9,9
EMG_05_R_M_soleus,RD0080,step4,1.0,0,18,18
EMG_05_R_M_soleus,RD0080,raw,1.0,0,18,18
EMG_05_R_M_soleus,RD71,step4,0.9999999999999998,0,4,4
EMG_05_R_M_soleus,RD71,raw,0.9999999999999999,0,4,4
EMG_06_R_M_rectus_fem,RD0001,step4,0.9999999999999999,0,17,17
EMG_06_R_M_rectus_fem,RD0001,raw,1.0,0,17,17
EMG_06_R_M_rectus_fem,RD0006,step4,1.0000000000000002,0,14,14
EMG_06_R_M_rectus_fem,RD0006,raw,1.0000000000000002,0,14,14
EMG_06_R_M_rectus_fem,RD0012,step4,0.9999999999999998,0,22,22
EMG_06_R_M_rectus_fem,RD0012,raw,1.0,0,22,22
EMG_06_R_M_rectus_fem,RD0016,step4,0.9998383560920829,0,18,21
EMG_06_R_M_rectus_fem,RD0016,raw,0.9980053854805423,0,18,21
EMG_06_R_M_rectus_fem,RD0024,step4,1.0000000000000002,0,16,16
EMG_06_R_M_rectus_fem,RD0024,raw,1.0,0,16,16
EMG_06_R_M_rectus_fem,RD0028,step4,1.0,0,12,12
EMG_06_R_M_rectus_fem,RD0028,raw,1.0000000000000002,0,12,12
EMG_06_R_M_rectus_fem,RD0029,step4,1.0,0,15,15
EMG_06_R_M_rectus_fem,RD0029,raw,1.0,0,15,15
EMG_06_R_M_rectus_fem,RD0035,step4,1.0,0,13,13
EMG_06_R_M_rectus_fem,RD0035,raw,1.0,0,13,13
EMG_06_R_M_rectus_fem,RD0036,step4,0.9999999999999998,0,22,22
EMG_06_R_M_rectus_fem,RD0036,raw,1.0,0,22,22
EMG_06_R_M_rectus_fem,RD0037,step4,0.9999999999999998,0,8,8
EMG_06_R_M_rectus_fem,RD0037,raw,1.0,0,8,8
EMG_06_R_M_rectus_fem,RD0041,step4,1.0,0,23,23
EMG_06_R_M_rectus_fem,RD0041,raw,0.9999999999999998,0,23,23
EMG_06_R_M_rectus_fem,RD0043,step4,1.0,0,15,15
